country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","07-04-2025 18:00:00",17.72,83.3,OZONE,NA,NA,NA
India,Assam,Guwahati,"IITG, Guwahati - PCBA","07-04-2025 18:00:00",26.2028636,91.70046436,PM2.5,59,121,88
India,Assam,Guwahati,"IITG, Guwahati - PCBA","07-04-2025 18:00:00",26.2028636,91.70046436,PM10,88,203,115
India,Assam,Guwahati,"IITG, Guwahati - PCBA","07-04-2025 18:00:00",26.2028636,91.70046436,NO2,1,3,1
India,Assam,Guwahati,"IITG, Guwahati - PCBA","07-04-2025 18:00:00",26.2028636,91.70046436,CO,11,16,12
India,Assam,Guwahati,"IITG, Guwahati - PCBA","07-04-2025 18:00:00",26.2028636,91.70046436,OZONE,3,59,44
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA","07-04-2025 18:00:00",26.10887,91.589544,CO,20,39,30
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","07-04-2025 18:00:00",16.5150833,80.5181667,NO2,20,30,25
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","07-04-2025 18:00:00",16.5150833,80.5181667,NH3,3,4,3
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","07-04-2025 18:00:00",16.5150833,80.5181667,SO2,10,13,11
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","07-04-2025 18:00:00",16.5150833,80.5181667,OZONE,2,68,33
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","07-04-2025 18:00:00",14.675886,77.593027,PM10,61,98,77
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","07-04-2025 18:00:00",14.675886,77.593027,NH3,7,14,9
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","07-04-2025 18:00:00",13.615387,79.409230,OZONE,41,113,74
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","07-04-2025 18:00:00",16.536107,80.594233,NO2,13,19,14
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","07-04-2025 18:00:00",16.536107,80.594233,SO2,6,93,10
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","07-04-2025 18:00:00",16.509717,80.612222,NO2,NA,NA,NA
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","07-04-2025 18:00:00",16.509717,80.612222,NH3,NA,NA,NA
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","07-04-2025 18:00:00",16.9872867,81.7363176,SO2,9,12,11
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB (Formerly known as Tirumala, Tirupati - APPCB)","07-04-2025 18:00:00",13.67,79.35,PM2.5,14,68,44
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","07-04-2025 18:00:00",14.675886,77.593027,CO,12,20,18
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","07-04-2025 18:00:00",14.465052,78.824187,CO,32,36,34
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","07-04-2025 18:00:00",11.654054,92.734055,NO2,16,28,23
India,"Andaman and Nicobar","Sri Vijaya Puram","Police Line, Sri Vijaya Puram - ANPCC","07-04-2025 18:00:00",11.654054,92.734055,NH3,1,1,1
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","07-04-2025 18:00:00",16.554731,80.649110,PM2.5,47,65,55
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","07-04-2025 18:00:00",16.554731,80.649110,NO2,22,26,23
